from afar,from afar,IN VBG,1,1.6297e-07,0.00013558,6.9754,0.9976,8.7004
from time to time,from time to time,IN NN TO NN,49,1.0756e-05,0.0015736,0.0,8.1239,16.396
gather in,gather in,VBD IN,8,1.3038e-06,0.0002292,4.9191,1.9103,1.6233
gather in,gather in,VBN IN,17,2.7705e-06,0.00048756,22.688,3.6968,3.2738
gaze at,gaze at,VBD IN,36,5.867e-06,0.0023882,104.49,5.9013,5.926
gaze at,gaze at,VBN IN,27,4.4002e-06,0.0017943,86.572,5.1312,6.3213
get away,get away,VBD RB,28,4.5632e-06,0.0055058,29.161,4.5652,2.8649
get away,get away,VBN RB,6,9.7783e-07,0.0015036,5.088,1.8413,2.01
get back to,get back to,VBD RB TO,23,3.7484e-06,0.0004817,0.0,4.7811,8.3443
get back to,get back to,VBN RB TO,5,8.1486e-07,0.00010634,0.0,2.2238,7.5101
get out,get out,VBD IN,42,6.8448e-06,0.0086207,58.341,5.9261,3.5465
get out,get out,VBD RB,21,3.4224e-06,0.010021,58.414,4.5044,5.8726
get out,get out,VBD RP,56,9.1264e-06,0.0079766,66.651,6.6683,3.1988
get out,get out,VBN IN,11,2.4446e-06,0.0039714,20.952,3.5133,3.4285
get out,get out,VBN RP,13,2.1186e-06,0.0021939,11.788,2.9499,2.4593
get stick,get stick,VBD VBN,3,4.8892e-07,0.0016376,9.8232,1.7024,5.8703
get stick,get stick,VBN VBN,2,3.2594e-07,0.0027137,8.0487,1.4002,6.6527
get stuck,get stuck,VBD JJ,1,1.6297e-07,0.0005571,5.0838,0.99184,6.9374
get stuck,get stuck,VBD RB,1,1.6297e-07,0.00055913,8.2063,0.99942,10.745
get to,get to,NN TO,1,1.6297e-07,1.491e-05,1.8563,0.43174,0.81538
get to,get to,VB TO,158,2.6401e-05,0.0023226,8.3436,3.4723,0.4596
get to,get to,VBP TO,28,4.5632e-06,0.00041572,7.5113,2.8298,1.104
give it to,give it to,VBD PRP TO,82,1.3364e-05,0.0011853,0.0,8.9683,6.7001
give way to,give way to,VBD NN TO,6,9.7783e-07,0.0001251,0.0,2.4191,6.3339
give way,give way,VBD NN,51,8.3116e-06,0.010431,80.78,6.6649,3.9056
glance at,glance at,NN IN,140,2.2979e-05,0.0092724,434.51,11.715,6.222
glance at,glance at,VB IN,8,1.3038e-06,0.00053232,23.687,2.7765,5.768
glance at,glance at,VBP IN,1,1.6297e-07,6.6602e-05,5.1581,0.99021,6.6749
go away,go away,VB RB,192,3.5202e-05,0.029528,430.84,14.109,4.6445
go away,go away,VB RP,24,4.8892e-06,0.0068012,64.933,5.2891,4.8635
go away,go away,VBD RB,432,7.0404e-05,0.057116,1101.4,20.343,5.5579
go away,go away,VBD RP,1,1.6297e-07,0.00021462,1.7408,-0.094304,-0.13001
go away,go away,VBP RB,14,2.2816e-06,0.0036027,19.979,3.4036,3.4682
go back to,go back to,VB RB TO,181,3.178e-05,0.0039607,0.0,13.953,10.26
go back to,go back to,VBD RB TO,231,3.7646e-05,0.0046762,0.0,15.188,10.418
go back to,go back to,VBG RB TO,49,7.9856e-06,0.0010185,0.0,6.9868,9.0507
go back to,go back to,VBP RB TO,11,1.7927e-06,0.0002343,0.0,3.3096,8.8834
go back,go back,VB RB,339,5.9485e-05,0.053712,949.61,18.724,5.6487
go back,go back,VB RP,1,1.6297e-07,0.00022855,1.7389,0.062413,0.092976
go back,go back,VBD RB,311,5.0684e-05,0.044151,748.61,17.197,5.3311
go back,go back,VBD RP,3,4.8892e-07,0.00064879,2.8731,1.1573,1.5914
go back,go back,VBG RB,66,1.0756e-05,0.01291,106.27,7.6037,3.9645
go back,go back,VBP RB,25,4.0743e-06,0.0074261,49.72,4.7869,4.552
go down,go down,VB IN,1,1.6297e-07,0.00022314,1.7548,-0.2152,-0.28119
go down,go down,VB RB,40,6.6818e-06,0.0065948,41.21,5.5035,2.8314
go down,go down,VB RP,152,2.6075e-05,0.024678,317.84,12.139,4.6308
go down,go down,VBP RB,12,1.9557e-06,0.0043042,19.776,3.2205,3.83
go down,go down,VBP RP,21,3.4224e-06,0.0068751,41.048,4.3761,4.4723
go far,go far,VB RB,18,3.9113e-06,0.0044535,23.694,4.1658,2.7402
go far,go far,VBP RB,3,4.8892e-07,0.0015306,4.1277,1.4283,2.5114
go for,go for,NN IN,1,1.6297e-07,4.5819e-05,2.0685,0.63762,1.4644
go for,go for,VB IN,61,1.0267e-05,0.0024403,1.9962,0.74434,0.14206
go for,go for,VBP IN,5,8.1486e-07,0.00022333,2.4287,-1.504,-0.7421
go off,go off,VB IN,1,1.6297e-07,0.00021418,1.8867,-0.70625,-0.77083
go off,go off,VB RB,1,1.6297e-07,0.00023685,1.8764,0.46442,0.90083
go off,go off,VB RP,29,4.7262e-06,0.004988,26.549,4.5115,2.6238
go off,go off,VBP RB,4,6.5189e-07,0.0050441,12.013,1.9608,5.672
go off,go off,VBP RP,1,1.6297e-07,0.00041929,1.7906,0.3108,0.537
go on,go on,NN IN,1,1.6297e-07,6.6335e-05,2.2943,0.74983,1.999
go on,go on,VB IN,334,6.2418e-05,0.020087,467.99,17.556,3.2806
go on,go on,VBD IN,1017,0.00016574,0.052652,2037.6,30.578,4.6029
go on,go on,VBG IN,316,5.1499e-05,0.018178,476.96,16.488,3.7863
go on,go on,VBP IN,62,1.0104e-05,0.0039647,81.975,7.1408,3.4247
go out,go out,VBN IN,40,6.5189e-06,0.0091912,65.201,5.9215,3.9719
go out,go out,VBN NN,1,1.6297e-07,0.0007731,4.2476,0.97892,5.5681
go out,go out,VBN RB,17,2.7705e-06,0.01079,49.501,4.0615,6.0636
go out,go out,VBN RP,46,7.4967e-06,0.0070764,60.372,6.1446,3.4108
go round,go round,VB IN,3,4.8892e-07,0.00071446,4.353,1.4576,2.6579
go round,go round,VB NN,34,5.541e-06,0.0068355,51.683,5.4013,3.7626
go round,go round,VB RB,1,1.6297e-07,0.0002471,3.1661,0.92274,3.6941
go round,go round,VB RP,3,4.8892e-07,0.00073792,7.5454,1.6595,4.5768
go round,go round,VB VB,2,3.2594e-07,0.00047887,3.0913,1.1198,2.2639
go round,go round,VBP IN,1,1.6297e-07,0.0012987,3.2448,0.93037,3.8441
go round,go round,VBP NN,4,6.5189e-07,0.002589,6.8891,1.8165,3.4464
go round,go round,VBP RB,5,8.1486e-07,0.0080906,24.054,2.231,8.7873
go to bed,go to bed,NN TO NN,1,1.6297e-07,2.2089e-05,0.0,0.9997,11.699
go to bed,go to bed,VB TO DT,4,6.5189e-07,8.4418e-05,0.0,1.9999,15.093
go to bed,go to bed,VB TO NN,52,9.6153e-06,0.0012309,0.0,7.675,10.282
go to bed,go to bed,VB TO RB,3,4.8892e-07,6.3314e-05,0.0,1.732,15.093
go to bed,go to bed,VB TO VB,28,4.7262e-06,0.00061106,0.0,5.3839,12.099
go to bed,go to bed,VB TO VBN,1,1.6297e-07,2.1104e-05,0.0,0.99971,11.771
go to bed,go to bed,VBP TO NN,20,3.2594e-06,0.00043814,0.0,4.4706,11.492
go to bed,go to bed,VBP TO VB,4,6.5189e-07,8.8549e-05,0.0,1.9995,12.012
go to bed,go to bed,VBP TO VBN,1,1.6297e-07,2.2173e-05,0.0,0.99996,14.542
go to it,go to it,VB TO PRP,7,1.3038e-06,0.00011298,0.0,2.1172,1.9916
go to it,go to it,VBP TO PRP,2,3.2594e-07,2.9186e-05,0.0,1.2058,2.7628
go to,go to,NN TO,5,8.1486e-07,7.4537e-05,5.0157,1.7376,2.1653
go to,go to,VB TO,1161,0.00019899,0.01718,1217.2,29.917,2.7976
go to,go to,VBD TO,1464,0.00023859,0.020527,1607.5,33.389,2.9728
go to,go to,VBG TO,2742,0.00044687,0.039516,6418.8,50.415,4.7479
go to,go to,VBN TO,343,5.5899e-05,0.0050203,310.32,15.527,2.6295
go to,go to,VBP TO,214,3.5202e-05,0.0031932,250.28,12.947,3.0698
golden hair,golden hair,JJ NN,62,1.0267e-05,0.046529,247.54,7.9027,7.8431
good and,good and,JJ CC,207,3.4224e-05,0.002041,5.5447,-3.1125,-0.2807
good and,good and,NN CC,2,3.2594e-07,2.0202e-05,2.3571,-1.5272,-1.0565
good evening,good evening,JJ NN,9,1.0267e-05,0.01349,143.26,7.7051,5.0957
good for,good for,JJ IN,163,2.8846e-05,0.0068725,74.125,9.0791,1.6548
good for,good for,NN IN,2,3.2594e-07,9.1475e-05,2.1556,0.76608,1.1256
good look,good look,JJ NN,26,4.2373e-06,0.005505,39.232,4.7109,3.7156
good reputation,good reputation,JJ NN,1,1.6297e-07,0.0002506,3.0413,0.90975,3.4699
grow up,grow up,NN RB,1,1.6297e-07,0.00056834,4.3263,0.98069,5.6945
grow up,grow up,VB RB,1,1.6297e-07,0.00050556,2.2468,0.73249,1.9023
grow up,grow up,VB RP,61,1.043e-05,0.0091494,180.15,7.8703,5.9466
grow up,grow up,VBP IN,2,3.2594e-07,0.0037037,7.8904,1.3989,6.5257
grow up,grow up,VBP RB,13,2.4446e-06,0.0082713,57.597,3.8522,7.5391
grow up,grow up,VBP RP,26,4.4002e-06,0.0039529,85.46,5.1359,6.4313
gust of wind,gust of wind,NN IN NN,20,3.2594e-06,0.00055966,0.0,4.4721,17.28
hammer in,hammer in,NN IN,2,3.2594e-07,5.7453e-05,2.931,1.0774,2.0702
happen on,happen on,VBD IN,6,9.7783e-07,0.00038671,1.9144,0.58309,0.39222
happen on,happen on,VBN IN,4,6.5189e-07,0.00026039,1.8518,0.46955,0.38604
have to,have to,VB TO,941,0.00015433,0.012858,424.06,21.403,1.7156
have to,have to,VBD TO,1421,0.00023158,0.015976,89.631,12.314,0.57062
have to,have to,VBN TO,71,1.1571e-05,0.0010519,38.49,6.1332,1.8777
have to,have to,VBP TO,369,6.2418e-05,0.0052818,34.667,7.3783,0.68273
heart skip a beat,heart skip a beat,NN VBD DT NN,2,3.2594e-07,6.9303e-05,0.0,1.4142,27.176
heavy body,heavy body,JJ NN,3,4.8892e-07,0.0044248,8.8486,1.6892,5.3381
heavy body,heavy body,NN NN,1,1.6297e-07,0.0026525,6.9507,0.99903,10.006
here and there,here and there,RB CC EX,1,3.2594e-07,2.7582e-05,0.0,1.1005,2.1723
here and there,here and there,RB CC RB,132,2.3631e-05,0.0020746,0.0,12.026,9.6343
hold it,hold it,VBD PRP,91,1.483e-05,0.0025503,93.984,8.2461,2.8829
hold it,hold it,VBN PRP,3,4.8892e-07,8.5086e-05,1.7599,0.21755,0.19364
home today,home today,NN NN,2,3.2594e-07,0.00072085,3.4716,1.189,2.6504
home today,home today,RB NN,1,1.6297e-07,0.0032468,4.5519,0.98534,6.0918
impose on,impose on,VBD IN,1,1.6297e-07,6.6445e-05,6.3559,0.99509,7.6714
impose on,impose on,VBN IN,2,3.2594e-07,0.00013285,6.6623,1.3795,5.3495
in a hurry,in a hurry,IN DT NN,131,2.1349e-05,0.0021624,0.0,11.438,10.624
in case of,in case of,IN NN IN,25,4.0743e-06,0.0004257,0.0,4.9805,8.0001
in hand,in hand,IN NN,141,2.2979e-05,0.0038512,66.748,8.3945,1.7707
in midair,in midair,IN NN,1,1.6297e-07,2.8743e-05,5.628,0.98866,6.4625
in order,in order,IN NN,308,5.3129e-05,0.0092778,857.16,17.619,5.3703
in peace,in peace,IN NN,121,1.972e-05,0.0034519,230.0,10.457,4.3397
in question,in question,IN NN,12,1.9557e-06,0.00034203,3.244,1.536,0.84533
in response,in response,IN NN,9,1.4667e-06,0.00025853,17.553,2.8299,4.1406
in silence,in silence,IN NN,136,2.2979e-05,0.0040176,268.42,11.291,4.347
in that,in that,IN DT,933,0.00016216,0.022864,725.29,25.269,2.3297
in that,in that,IN IN,2,3.2594e-07,3.686e-05,377.55,-310.81,-7.7864
in the form of,in the form of,IN DT NN IN,11,1.7927e-06,9.8291e-05,0.0,3.3158,11.911
in the middle of,in the middle of,IN DT NN IN,307,5.6877e-05,0.0031169,0.0,18.681,16.137
in the middle,in the middle,IN DT JJ,5,8.1486e-07,4.3952e-05,0.0,2.2213,7.2376
in the middle,in the middle,IN DT NN,402,7.2848e-05,0.0039236,0.0,21.129,10.64
in the past,in the past,IN DT JJ,13,2.1186e-06,0.00011418,0.0,3.5558,6.1807
in the past,in the past,IN DT NN,17,2.7705e-06,0.00014939,0.0,4.1009,7.5397
in the same way,in the same way,IN DT JJ NN,36,6.03e-06,0.00042285,0.0,6.0826,14.946
in the sand,in the sand,IN DT NN,27,4.5632e-06,0.00024594,0.0,5.2606,7.4187
in the way,in the way,IN DT NN,124,2.0209e-05,0.0010694,0.0,10.837,5.2197
in the world,in the world,IN DT NN,999,0.00016281,0.0087062,0.0,31.559,9.3631
in the wrong,in the wrong,IN DT JJ,26,4.2373e-06,0.00022816,0.0,5.035,6.3162
in time to,in time to,IN NN TO,105,1.7275e-05,0.001492,0.0,10.068,5.4997
in time,in time,IN NN,338,5.6877e-05,0.0088318,152.65,12.944,1.703
in turn,in turn,IN NN,52,8.4745e-06,0.0014837,62.125,6.3981,3.1489
inside of,inside of,IN IN,23,3.7484e-06,0.00043203,13.173,3.4581,1.842
inside of,inside of,NN IN,38,6.1929e-06,0.0007155,73.456,5.8418,4.2562
inside of,inside of,RB IN,4,6.5189e-07,7.5242e-05,1.7424,0.10653,0.078968
instead of,instead of,RB IN,742,0.00013282,0.015211,2386.4,27.908,5.4787
judge by,judge by,VBN IN,3,4.8892e-07,0.00039973,11.566,1.7151,6.6764
just for fun,just for fun,RB IN NN,12,2.2816e-06,0.00078364,0.0,3.7393,10.65
just in time,just in time,RB IN NN,94,1.5482e-05,0.0032309,0.0,9.7303,9.2109
just like that,just like that,RB IN DT,9,1.7927e-06,0.00092822,0.0,3.3052,8.1792
just the same,just the same,RB DT JJ,150,2.6238e-05,0.0017069,0.0,12.677,10.136
kind of thing,kind of thing,NN IN NN,5,8.1486e-07,0.00013425,0.0,2.2271,7.9612
kind of,kind of,NN IN,690,0.00011245,0.012775,1366.0,25.006,4.3796
know of,know of,NN IN,10,1.6297e-06,0.00018846,25.091,3.0529,4.8538
know of,know of,VB IN,39,6.3559e-06,0.0007033,14.573,-7.0514,-1.0903
know of,know of,VBP IN,55,9.1264e-06,0.001016,3.3455,-2.0739,-0.35291
laugh at,laugh at,VBD IN,169,2.7542e-05,0.010799,354.74,12.521,4.7618
laugh at,laugh at,VBN IN,107,1.7927e-05,0.0072586,347.11,10.357,6.3167
laugh at,laugh at,VBP IN,1,3.2594e-06,0.0013305,72.06,4.4316,6.7874
lead to,lead to,NN TO,2,3.2594e-07,2.9813e-05,1.8758,0.48694,0.60893
lead to,lead to,VB TO,9,1.4667e-06,0.00013399,2.8854,1.3316,0.84654
lead to,lead to,VBP TO,4,6.5189e-07,5.9645e-05,7.0076,1.8033,3.3459
lead up to,lead up to,VBG RP TO,2,3.2594e-07,4.0603e-05,0.0,1.4094,8.1922
lean on,lean on,VBG IN,58,9.4524e-06,0.0038278,163.94,7.4831,5.8429
lean over,lean over,VBP IN,2,3.2594e-07,0.00045579,9.4858,1.4071,7.6433
leaning on,leaning on,NN IN,1,1.6297e-07,6.6434e-05,4.0291,0.97057,5.0865
leave aside,leave aside,VB RB,1,1.6297e-07,0.0014782,3.5353,0.95117,4.356
leave for,leave for,VBD IN,31,5.0521e-06,0.0013717,11.806,3.5259,1.4472
leave for,leave for,VBN IN,30,4.8892e-06,0.0013401,16.474,3.9555,1.8478
leave in,leave in,VBD IN,21,3.4224e-06,0.00059005,1.9253,0.62338,0.21095
leave in,leave in,VBN IN,71,1.1571e-05,0.002007,56.195,6.8476,2.4162
leave to,leave to,VB TO,1,7.0078e-06,0.00063617,7.5451,2.9778,0.8733
leave to,leave to,VBD TO,53,8.6375e-06,0.00078108,5.3097,2.4766,0.59988
leave to,leave to,VBN TO,81,1.4179e-05,0.0012862,42.235,6.5788,1.7628
left for,left for,NN IN,13,2.1186e-06,0.00059346,16.369,3.1878,3.1094
left in,left in,NN IN,5,8.1486e-07,0.00014328,2.6767,1.161,1.0565
left to,left to,JJ TO,2,3.2594e-07,2.9787e-05,2.2322,-1.3367,-0.95992
left to,left to,NN TO,9,1.4667e-06,0.00013401,3.1748,1.4555,0.95782
let go of,let go of,NN VB IN,1,1.6297e-07,2.6261e-05,0.0,0.9978,8.8306
let go of,let go of,VB VB IN,6,1.1408e-06,0.00017767,0.0,2.611,6.2506
let go of,let go of,VBD VB IN,10,1.6297e-06,0.00026244,0.0,3.1611,11.335
let go of,let go of,VBN VB IN,1,1.6297e-07,2.6262e-05,0.0,0.99789,8.8914
let go of,let go of,VBP VB IN,4,6.5189e-07,0.00010501,0.0,1.9985,10.375
let go,let go,NN VB,10,1.6297e-06,0.0024594,31.542,3.1221,6.2988
let go,let go,VB VB,38,7.0078e-06,0.0071104,47.31,5.7467,3.0158
let go,let go,VBD VB,21,3.4224e-06,0.0051182,67.689,4.5337,6.5513
let go,let go,VBN VB,5,8.1486e-07,0.0012303,13.748,2.1816,5.3596
let go,let go,VBP VB,7,1.1408e-06,0.001714,18.424,2.5799,5.3289
lie in,lie in,VBG IN,77,1.2549e-05,0.0021925,100.63,7.9221,3.363
light up,light up,JJ RP,1,1.6297e-07,0.00014344,1.7392,0.065836,0.098253
light up,light up,VB RP,7,1.3038e-06,0.0011785,24.135,2.7832,5.9682
light up,light up,VBD RP,3,5.704e-06,0.0051058,109.05,5.8449,6.378
little boy,little boy,JJ JJ,4,6.5189e-07,0.0004852,11.191,1.9477,5.2578
little boy,little boy,JJ NN,177,2.9172e-05,0.017612,301.77,12.602,4.1059
little fellow,little fellow,JJ JJ,19,3.0965e-06,0.0022922,52.896,4.2796,5.7799
little fellow,little fellow,JJ NN,102,1.6623e-05,0.011741,249.6,9.8537,5.3607
live in,live in,VBD IN,216,3.5202e-05,0.0061084,370.52,13.816,4.06
live in,live in,VBN IN,70,1.1408e-05,0.0020016,122.25,7.8733,4.084
live on,live on,VBD IN,50,8.1486e-06,0.0032009,59.029,6.2788,3.158
live on,live on,VBG IN,14,2.2816e-06,0.00092239,20.229,3.4047,3.4732
live on,live on,VBN IN,9,1.4667e-06,0.00059088,8.1789,2.4048,2.3336
living on,living on,NN IN,6,9.7783e-07,0.00039326,3.9439,1.6184,1.5594
look after,look after,NN IN,17,2.7705e-06,0.0040655,22.466,3.7088,3.3151
look after,look after,VB IN,146,2.412e-05,0.031142,382.68,11.921,5.6347
look after,look after,VBP IN,6,1.1408e-06,0.0019139,11.724,2.4409,3.6912
look around,look around,NN IN,9,1.4667e-06,0.0065526,20.737,2.8989,4.8916
look around,look around,NN RB,5,8.1486e-07,0.0055866,16.44,2.2075,6.2924
look around,look around,NN RP,2,3.2594e-07,0.0023952,7.1328,1.3903,5.888
look around,look around,VB IN,7,1.3038e-06,0.0041142,14.154,2.6415,3.9193
look around,look around,VB RB,2,3.2594e-07,0.0013643,5.1222,1.3355,4.1681
look around,look around,VB RP,12,1.9557e-06,0.0085349,47.28,3.4471,7.6706
look around,look around,VBD IN,26,4.2373e-06,0.0079755,52.851,4.8934,4.6322
look around,look around,VBD RB,10,1.6297e-06,0.0035952,26.544,3.0925,5.5025
look around,look around,VBD RP,5,8.1486e-07,0.0018372,13.891,2.1838,5.42
look around,look around,VBP IN,3,4.8892e-07,0.0035315,8.1894,1.6765,4.9629
look around,look around,VBP RP,1,1.6297e-07,0.0032154,4.822,0.98929,6.5443
look at,look at,CC IN,1,1.6297e-07,6.6602e-05,5.1581,0.99021,6.6749
look at,look at,NN IN,266,5.4107e-05,0.021038,846.29,17.809,5.4659
look at,look at,VB IN,450,8.0019e-05,0.030027,1175.1,21.567,5.2281
look at,look at,VBD IN,964,0.0001571,0.054563,2303.0,30.212,5.2138
look at,look at,VBG IN,433,7.0567e-05,0.026502,989.67,20.185,5.0613
look at,look at,VBN IN,53,8.6375e-06,0.0034974,129.47,7.0912,5.2684
look at,look at,VBP IN,73,1.1897e-05,0.0047847,162.16,8.2651,4.9369
look for,look for,NN IN,22,3.9113e-06,0.0010635,6.8559,2.6726,1.1378
look for,look for,VB IN,244,4.0254e-05,0.010675,363.03,14.506,3.6988
look for,look for,VBD IN,43,7.0078e-06,0.0017584,2.0473,0.80588,0.18918
look for,look for,VBG IN,251,4.0906e-05,0.010854,374.46,14.654,3.7366
look for,look for,VBN IN,19,3.0965e-06,0.000866,24.612,3.9008,3.2504
look for,look for,VBP IN,6,9.7783e-07,0.0002722,2.4055,1.0368,0.79405
looked at,looked at,NN IN,1,1.6297e-07,6.6605e-05,6.3579,0.99511,7.6749
lose in,lose in,VBD IN,1,1.6297e-07,2.8552e-05,4.0459,-4.3069,-2.4079
lose in,lose in,VBN IN,90,1.4667e-05,0.00255,97.609,8.282,2.9771
lose on,lose on,VBD IN,2,3.2594e-07,0.00013086,1.7546,-0.20907,-0.19892
lose on,lose on,VBN IN,8,1.3038e-06,0.00051435,2.4308,1.0803,0.69417
lying in,lying in,NN IN,4,6.5189e-07,0.00011492,6.8037,1.8016,3.3332
made of,made of,NN IN,4,6.5189e-07,7.5394e-05,13.676,1.9568,5.5318
make of,make of,VBD IN,17,2.7705e-06,0.00030793,30.222,-13.948,-2.1319
make of,make of,VBN IN,205,3.3409e-05,0.003781,153.62,11.501,2.3459
move about,move about,VBG IN,7,1.1408e-06,0.001396,14.589,2.5205,4.4009
move about,move about,VBG RB,9,1.4667e-06,0.015625,38.269,2.9894,8.1411
my eye,my eye,PRP$ NN,37,0.0,0.0,1.7372,0.0,0.0
my foot,my foot,PRP$ NN,34,0.0,0.0,1.7372,0.0,0.0
my life,my life,PRP$ NN,461,0.0,0.0,1.7372,0.0,0.0
next to,next to,IN TO,12,1.9557e-06,0.00017879,9.634,2.6944,2.17
next to,next to,JJ TO,47,9.2894e-06,0.00083313,1.785,-0.33303,-0.062274
next to,next to,VBN TO,2,3.2594e-07,2.9826e-05,8.3789,1.3833,5.5158
no end,no end,DT NN,63,1.043e-05,0.0083852,106.29,7.5144,4.042
no end,no end,RB VB,1,1.6297e-07,0.0013477,4.0629,0.97393,5.2617
no good,no good,DT JJ,92,1.5645e-05,0.0089678,76.402,8.0217,2.4636
no good,no good,DT NN,17,2.7705e-06,0.0024949,48.646,4.0543,5.9045
no good,no good,RB JJ,2,8.1486e-07,0.0010778,3.4576,1.4479,1.5044
no harm,no harm,DT NN,142,2.4609e-05,0.02172,573.21,12.216,7.4049
no harm,no harm,DT VB,1,1.6297e-07,0.00014732,2.5619,0.8306,2.5615
no harm,no harm,RB NN,1,1.6297e-07,0.0011287,3.0374,0.90977,3.4703
no long,no long,DT JJR,8,1.3038e-06,0.0011541,11.524,2.5445,3.3166
no long,no long,RB JJR,71,1.1571e-05,0.081986,365.81,8.4165,9.7701
no longer,no longer,DT NN,15,2.4446e-06,0.002216,58.948,3.8508,7.4498
no longer,no longer,DT RB,12,1.9557e-06,0.0017433,23.452,3.2939,4.3472
no longer,no longer,DT RBR,56,9.1264e-06,0.0080218,151.94,7.3472,5.7808
no longer,no longer,RB RB,160,2.6564e-05,0.19939,1045.3,12.762,11.415
no longer,no longer,RB RBR,247,4.058e-05,0.27213,1563.9,15.773,11.237
no use,no use,DT IN,4,6.5189e-07,0.00059224,17.638,1.9901,7.6584
no use,no use,DT NN,376,6.2907e-05,0.053854,1557.9,19.553,7.7134
no use,no use,DT VB,3,4.8892e-07,0.00043375,3.4423,1.3078,2.0296
no use,no use,RB NN,4,1.3038e-06,0.0072628,21.13,2.7626,5.4247
no use,no use,RB VB,3,4.8892e-07,0.0035273,8.8429,1.6891,5.3333
north pole,north pole,JJ NN,2,3.2594e-07,0.033058,14.337,1.4138,11.853
nose up,nose up,JJ RP,3,4.8892e-07,0.00043722,4.4826,1.4726,2.7387
nose up,nose up,NN RP,3,4.8892e-07,0.00042454,2.3838,0.95103,1.149
not at all,not at all,RB IN DT,144,2.9661e-05,0.006997,0.0,13.458,8.6705
not at all,not at all,RB IN PDT,11,1.7927e-06,0.00050558,0.0,3.2679,6.0893
not at all,not at all,RB IN RB,2,3.2594e-07,0.00010298,0.0,1.4107,8.6491
not much,not much,RB JJ,114,2.2979e-05,0.0087112,138.04,10.198,2.8246
not much,not much,RB RB,24,4.2373e-06,0.0016862,6.2107,2.568,1.0105
nothing like,nothing like,NN IN,25,5.2151e-06,0.0049478,26.415,4.6251,2.4549
nothing like,nothing like,NN JJ,2,3.2594e-07,0.0009348,4.4104,1.2921,3.5333
now that,now that,RB DT,8,3.7484e-06,0.001598,3.0199,-1.9252,-0.4869
now that,now that,RB IN,287,5.8996e-05,0.014402,262.19,15.247,2.3318
occur to,occur to,VBD TO,91,1.483e-05,0.0013558,238.88,9.2484,5.0349
occur to,occur to,VBN TO,30,4.8892e-06,0.00044721,68.93,5.2578,4.6413
of a kind,of a kind,IN DT NN,10,1.6297e-06,0.0001365,0.0,2.9714,4.0499
of course,of course,IN NN,1153,0.00037141,0.041964,7382.2,46.829,5.7127
of it,of it,IN PRP,2863,0.00046691,0.032484,731.55,30.819,1.2371
on earth,on earth,IN NN,177,2.9009e-05,0.011483,438.06,13.01,5.3286
on top of,on top of,IN NN IN,62,1.0267e-05,0.0013798,0.0,7.929,9.9063
on top,on top,IN JJ,3,4.8892e-07,0.0001981,3.0067,1.1968,1.6942
on top,on top,IN NN,74,1.2223e-05,0.0048586,137.26,8.2218,4.3041
once upon a time,once upon a time,RB IN DT NN,54,2.1675e-05,0.0040874,0.0,11.533,20.472
one day,one day,CD NN,580,0.00015564,0.082928,2583.0,30.332,5.7579
out of pocket,out of pocket,IN IN NN,2,3.2594e-07,5.3232e-05,0.0,1.4088,8.0241
out of,out of,IN IN,4867,0.00080231,0.087698,14774.0,68.644,5.5285
out of,out of,NN IN,38,6.1929e-06,0.00071593,110.72,6.0214,5.4293
out of,out of,RB IN,112,1.8253e-05,0.002099,150.61,9.5781,3.3967
out of,out of,RP IN,19,3.0965e-06,0.00032599,106.43,-37.156,-3.2516
out of,out of,VBN IN,1,1.6297e-07,1.8849e-05,5.2615,0.98271,5.8538
pain of death,pain of death,NN IN NN,9,1.4667e-06,0.00025075,0.0,2.9995,12.517
pile up,pile up,VBD RP,6,9.7783e-07,0.00088496,18.863,2.4126,6.0536
pile up,pile up,VBN RB,1,1.6297e-07,0.00056948,4.5265,0.98467,6.027
pile up,pile up,VBN RP,3,4.8892e-07,0.00044294,9.5443,1.6977,5.6562
play with,play with,NN IN,29,4.7262e-06,0.0014595,47.125,5.02,3.8823
play with,play with,VB IN,173,2.8357e-05,0.0086548,409.74,12.813,5.1266
play with,play with,VBP IN,9,1.7927e-06,0.00055668,21.819,3.15,4.3149
pluck up courage,pluck up courage,VBD RP NN,6,9.7783e-07,0.001286,0.0,2.4495,18.973
pluck up,pluck up,VBD RP,16,2.9335e-06,0.0026469,60.035,4.2001,6.6385
pluck up,pluck up,VBN RP,1,1.6297e-07,0.0001477,3.5579,0.95153,4.3667
point out,point out,NN RP,2,3.2594e-07,0.00036556,2.2706,0.83897,1.2977
point out,point out,VB RP,13,2.1186e-06,0.0024727,48.883,3.5819,7.2522
point out,point out,VBD IN,1,1.6297e-07,0.00031182,2.298,0.75272,2.0158
point out,point out,VBD RP,34,5.541e-06,0.0063486,104.5,5.759,6.3405
point out,point out,VBG RP,9,1.4667e-06,0.0016941,21.7,2.909,5.0436
point out,point out,VBN RP,12,1.9557e-06,0.0022833,45.296,3.4415,7.257
pour out,pour out,VB IN,1,1.6297e-07,0.0003217,3.5346,0.95074,4.3436
pour out,pour out,VB RP,12,2.1186e-06,0.0024729,49.146,3.5824,7.2813
pour out,pour out,VBP RP,2,3.2594e-07,0.00038179,8.1285,1.3997,6.6106
prepare for,prepare for,VBG IN,24,3.9113e-06,0.0010987,59.941,4.7684,5.23
preparing for,preparing for,NN IN,3,4.8892e-07,0.00013761,14.628,1.7197,7.1369
